,Timestamp,State,joint_angles_1,joint_angles_2,joint_angles_3,joint_angles_4,joint_angles_5,joint_angles_6,joint_velocity_1,joint_velocity_2,joint_velocity_3,joint_velocity_4,joint_velocity_5,joint_velocity_6,fts_reading_1,fts_reading_2,fts_reading_3,fts_reading_4,fts_reading_5,fts_reading_6,joint_torque_current_1,joint_torque_current_2,joint_torque_current_3,joint_torque_current_4,joint_torque_current_5,joint_torque_current_6,pose_tx,pose_ty,pose_tz,pose_qw,pose_qx,pose_qy,pose_qz,twist_tx,twist_ty,twist_tz,twist_rx,twist_ry,twist_rz,wrench_fx,wrench_fy,wrench_fz,wrench_mx,wrench_my,wrench_mz,encoder_torques_1,encoder_torques_2,encoder_torques_3,encoder_torques_4,encoder_torques_5,encoder_torques_6,encoder_loadinc_1,encoder_loadinc_2,encoder_loadinc_3,encoder_loadinc_4,encoder_loadinc_5,encoder_loadinc_6,encoder_motorinc_1,encoder_motorinc_2,encoder_motorinc_3,encoder_motorinc_4,encoder_motorinc_5,encoder_motorinc_6,wrench__fts_fx,wrench__fts_fy,wrench__fts_fz,wrench_fts_mx,wrench_fts_my,wrench_fts_mz,target_joint_angles_1,target_joint_angles_2,target_joint_angles_3,target_joint_angles_4,target_joint_angles_5,target_joint_angles_6,target_joint_velocity_1,target_joint_velocity_2,target_joint_velocity_3,target_joint_velocity_4,target_joint_velocity_5,target_joint_velocity_6,target_joint_accelerations_1,target_joint_accelerations_2,target_joint_accelerations_3,target_joint_accelerations_4,target_joint_accelerations_5,target_joint_accelerations_6,target_joint_torque_1,target_joint_torque_2,target_joint_torque_3,target_joint_torque_4,target_joint_torque_5,target_joint_torque_6,target_pose_tx,target_pose_ty,target_pose_tz,target_pose_qw,target_pose_qx,target_pose_qy,target_pose_qz,Target_Pose_Twist_tx,Target_Pose_Twist_ty,Target_Pose_Twist_tz,Target_Pose_Twist_qw,Target_Pose_Twist_qx,Target_Pose_Twist_qy,Target_Pose_Twist_qz,Target_Pose_Acceleration_tx,Target_Pose_Acceleration_ty,Target_Pose_Acceleration_tz,Target_Pose_Acceleration_qw,Target_Pose_Acceleration_qx,Target_Pose_Acceleration_qy,Target_Pose_Acceleration_qz
0,2315.505423811,0,0.625883,0.322479,0.947364,2.68805,1.78996,-0.080819,-0.0,0.00415981,-0.0010679,-0.0,0.0,0.00391564,7.713216759314058,-3.967073414422959,25.14784737480502,-0.3976010228114819,-0.1059964421569213,0.1961635972794479,-7.95054,-77.5687,-66.8594,3.45526,-0.210881,-0.832425,0.586685,0.515629,1.17078,-0.244607,-0.31281,0.124066,0.909354,0.00124563,0.00124825,-0.00184761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3439161,3316630,3674600,-2546249,15128572,2214448,-202511276,-104498125,-168635891,-725027926,59469661,21563689,0,0,0,0,0,0,0.625844,0.32266,0.947023,2.68838,1.78999,-0.0807629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.97837e-15,-88.6077,-51.0096,-0.792224,-1.37451,-0.194512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2315.507462553,0,0.625883,0.322478,0.947361,2.68805,1.78996,-0.0808182,0.00148565,0.00445694,-0.00569547,0.00462757,0.0,0.00249177,7.713216759314058,-3.967073414422959,25.14784737480502,-0.3976010228114819,-0.1059964421569213,0.1961635972794479,-9.88721,-78.0784,-66.5138,2.93697,-0.899019,-1.25419,0.586683,0.515627,1.17078,-0.244607,-0.312811,0.124064,0.909354,-0.000918156,-0.000902238,0.00162173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3439161,3316635,3674593,-2546256,15128570,2214446,-202511231,-104498310,-168636012,-725027970,59469826,21563569,0,0,0,0,0,0,0.625844,0.32266,0.947023,2.68838,1.78999,-0.0807629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.64933e-15,-88.6082,-51.0097,-0.79222,-1.37449,-0.194511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2315.509385193,0,0.625881,0.322475,0.947362,2.68805,1.78996,-0.0808186,0.00029713,0.00475407,0.0,0.00462757,0.0,0.00391564,7.721541412351463,-4.001136615375386,25.14736335093826,-0.3980491094081552,-0.1060145990908351,0.1959010680597058,-8.46019,-76.1417,-68.7598,1.72763,-0.732534,-1.1432,0.586683,0.515625,1.17078,-0.244606,-0.312812,0.124064,0.909354,-0.000281321,-0.0010427,0.000470675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3439166,3316641,3674596,-2546254,15128573,2214447,-202511169,-104498456,-168635951,-725028120,59469999,21563598,0,0,0,0,0,0,0.625844,0.32266,0.947023,2.68838,1.78999,-0.0807629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.20203e-15,-88.6079,-51.0096,-0.792226,-1.37451,-0.194512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2315.511370447,0,0.625881,0.322479,0.947364,2.68805,1.78996,-0.0808216,0.00148565,0.00475407,-0.00569547,-0.0,0.0,0.00177984,7.721541412351463,-4.001136615375386,25.14736335093826,-0.3980491094081552,-0.1060145990908351,0.1959010680597058,-7.95054,-78.0784,-66.1683,3.45526,-0.266376,-1.62045,0.586686,0.515627,1.17078,-0.244605,-0.31281,0.124065,0.909355,0.00167674,0.00113404,-0.00206119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3439167,3316631,3674601,-2546251,15128574,2214455,-202511115,-104498609,-168636075,-725027943,59470179,21563549,0,0,0,0,0,0,0.625844,0.32266,0.947023,2.68838,1.78999,-0.0807629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.64929e-15,-88.6076,-51.0095,-0.792224,-1.37451,-0.194513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2315.513706666,0,0.625882,0.322479,0.947361,2.68805,1.78996,-0.080822,0.00029713,0.00415981,-0.000711934,0.0042716,0.0,0.00462757,7.721541412351463,-4.001136615375386,25.14736335093826,-0.3980491094081552,-0.1060145990908351,0.1959010680597058,-10.3969,-78.0784,-68.587,2.93697,-0.366267,-1.19869,0.586684,0.515627,1.17078,-0.244605,-0.312813,0.124064,0.909354,-0.000874171,-0.000123473,0.000756208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3439164,3316631,3674593,-2546251,15128582,2214456,-202511035,-104498768,-168636037,-725027955,59470356,21563530,0,0,0,0,0,0,0.625844,0.32266,0.947023,2.68838,1.78999,-0.0807629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.07548e-14,-88.6082,-51.0097,-0.792223,-1.3745,-0.194511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2315.51539263,0,0.62588,0.322479,0.947359,2.68805,1.78996,-0.0808179,0.00178278,0.00445694,-0.00569547,0.00462757,0.0,0.00284774,7.721541412351463,-4.001136615375386,25.14736335093826,-0.3980491094081552,-0.1060145990908351,0.1959010680597058,-10.3969,-78.0784,-65.65,1.72763,-0.366267,-1.29858,0.586684,0.515625,1.17078,-0.244606,-0.312814,0.124063,0.909353,-4.26793e-05,-0.000905412,0.000686769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3439168,3316632,3674588,-2546255,15128586,2214445,-202510974,-104498933,-168636189,-725028141,59470508,21563448,0,0,0,0,0,0,0.625844,0.32266,0.947023,2.68838,1.78999,-0.0807629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.66106e-17,-88.6081,-51.0096,-0.792223,-1.37451,-0.194513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2315.51738651,0,0.625879,0.32248,0.947362,2.68805,1.78996,-0.0808205,0.000594259,0.00475407,-0.000711934,-0.0,0.0,0.0032037,7.721541412351463,-4.001136615375386,25.14736335093826,-0.3980491094081552,-0.1060145990908351,0.1959010680597058,-9.37756,-78.588,-68.587,3.80079,-0.210881,-1.04331,0.586686,0.515626,1.17078,-0.244605,-0.312813,0.124065,0.909354,0.000998917,0.000405582,-0.00112996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3439171,3316629,3674594,-2546249,15128583,2214452,-202510905,-104499111,-168636145,-725027973,59470686,21563504,0,0,0,0,0,0,0.625844,0.32266,0.947023,2.68838,1.78999,-0.0807629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.42568e-15,-88.608,-51.0095,-0.792226,-1.37453,-0.194513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2315.519386539,0,0.625879,0.32248,0.947362,2.68805,1.78996,-0.0808179,0.000891389,0.00475407,-0.00533951,0.00355967,0.0,0.00284774,7.719635775747616,-4.028378919849079,25.15275227719297,-0.3985607074586184,-0.1058690496639936,0.1958575657411532,-9.37756,-77.5687,-66.8594,4.10313,-0.943415,-1.40957,0.586687,0.515626,1.17078,-0.244606,-0.312812,0.124064,0.909354,0.000263141,-0.000231832,-1.63609e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3439172,3316629,3674595,-2546256,15128582,2214445,-202510801,-104499231,-168636246,-725027981,59470867,21563386,0,0,0,0,0,0,0.625844,0.32266,0.947023,2.68838,1.78999,-0.0807629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.66175e-17,-88.6082,-51.0096,-0.792221,-1.37451,-0.194513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2315.52137944,0,0.62588,0.322482,0.94736,2.68805,1.78996,-0.0808182,0.000594259,0.00356555,-0.000355967,0.00569547,0.0,0.00284774,7.719635775747616,-4.028378919849079,25.15275227719297,-0.3985607074586184,-0.1058690496639936,0.1958575657411532,-9.37756,-75.734,-68.2415,1.9004,-0.732534,-1.0877,0.586688,0.515628,1.17078,-0.244607,-0.312812,0.124064,0.909354,0.00034484,0.000925048,-0.000596876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3439168,3316622,3674591,-2546257,15128584,2214446,-202510751,-104499336,-168636210,-725028199,59471043,21563449,0,0,0,0,0,0,0.625844,0.32166,0.947023,2.68838,1.78999,-0.0807629,-6.5375e-08,5.43439e-08,-3.30846e-07,-2.12681e-07,4.24569e-07,8.10425e-07,1.49899e-07,-1.24611e-07,7.58499e-07,4.87983e-07,-9.73317e-07,-1.85848e-06,-1.25311e-14,-88.6082,-51.0096,-0.792228,-1.37451,-0.194512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2315.523373366,0,0.625884,0.322482,0.947361,2.68805,1.78996,-0.0808167,0.000891389,0.00475407,-0.00569547,-0.0,0.0,0.00284774,7.719635775747616,-4.028378919849079,25.15275227719297,-0.3985607074586184,-0.1058690496639936,0.1958575657411532,-9.88721,-77.161,-65.4773,3.80079,-0.366267,-1.56496,0.586686,0.51563,1.17078,-0.244609,-0.312811,0.124065,0.909353,-0.000816377,0.0012806,-0.000281942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3439159,3316622,3674593,-2546250,15128582,2214442,-202510698,-104499530,-168636373,-725028032,59471241,21563311,0,0,0,0,0,0,0.625844,0.32166,0.947023,2.68838,1.78999,-0.0807629,-9.07429e-08,7.54313e-08,-4.59227e-07,-2.95207e-07,5.89318e-07,1.1249e-06,5.48432e-07,-4.55911e-07,2.77509e-06,1.78537e-06,-3.56104e-06,-6.79958e-06,1.03941e-06,-88.6086,-51.0096,-0.792229,-1.37451,-0.194512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
